SJÖID;NAMN;DATUM1;NÄTNR;MASKA;FISKART;ANTAL;TOTVIKT;ANMÄRKNINGAR
648779-150974;Roxen;20180806;1;;ABBOR;250;2210;
648779-150974;Roxen;20180806;1;;BRAXE;1;1;
648779-150974;Roxen;20180806;1;;MÖRT;43;2530;
648779-150974;Roxen;20180806;2;;ABBOR;241;2186;
648779-150974;Roxen;20180806;2;;BJÖNA;3;70;
648779-150974;Roxen;20180806;2;;BRAXE;2;100;
648779-150974;Roxen;20180806;2;;GERS;23;126;
648779-150974;Roxen;20180806;2;;GÖS;4;89;
648779-150974;Roxen;20180806;2;;MÖRT;48;2989;
648779-150974;Roxen;20180806;2;;SARV;1;66;
648779-150974;Roxen;20180806;3;;ABBOR;25;550;
648779-150974;Roxen;20180806;3;;BENLÖ;3;5;
648779-150974;Roxen;20180806;3;;BRAXE;1;15;
648779-150974;Roxen;20180806;3;;GERS;1;1;
648779-150974;Roxen;20180806;3;;MÖRT;33;2600;
648779-150974;Roxen;20180806;4;;ABBOR;315;3308;
648779-150974;Roxen;20180806;4;;BENLÖ;1;9;
648779-150974;Roxen;20180806;4;;BRAXE;2;105;
648779-150974;Roxen;20180806;4;;GERS;24;170;
648779-150974;Roxen;20180806;4;;GÖS;1;25;
648779-150974;Roxen;20180806;4;;MÖRT;55;2972;
648779-150974;Roxen;20180806;5;;ABBOR;281;2961;
648779-150974;Roxen;20180806;5;;GERS;20;85;
648779-150974;Roxen;20180806;5;;MÖRT;34;1255;
648779-150974;Roxen;20180806;6;;ABBOR;353;7072;
648779-150974;Roxen;20180806;6;;GERS;16;65;
648779-150974;Roxen;20180806;6;;MÖRT;9;1300;
648779-150974;Roxen;20180806;7;;ABBOR;245;2980;
648779-150974;Roxen;20180806;7;;GERS;15;110;
648779-150974;Roxen;20180806;7;;GÖS;1;20;
648779-150974;Roxen;20180806;7;;MÖRT;29;870;
648779-150974;Roxen;20180806;8;;ABBOR;137;2320;
648779-150974;Roxen;20180806;8;;BENLÖ;1;25;
648779-150974;Roxen;20180806;8;;GERS;8;60;
648779-150974;Roxen;20180806;8;;MÖRT;17;920;
648779-150974;Roxen;20180806;8;;SIKLÖ;1;10;
648779-150974;Roxen;20180806;9;;ABBOR;174;822;
648779-150974;Roxen;20180806;9;;BENLÖ;1;1;
648779-150974;Roxen;20180806;9;;BJÖNA;3;39;
648779-150974;Roxen;20180806;9;;GÄDDA;1;10;
648779-150974;Roxen;20180806;9;;MÖRT;21;732;
648779-150974;Roxen;20180806;10;;ABBOR;24;186;
648779-150974;Roxen;20180806;10;;MÖRT;31;798;
648779-150974;Roxen;20180806;10;;BENLÖ;3;7;
648779-150974;Roxen;20180806;10;;SARV;4;183;
648779-150974;Roxen;20180806;11;;ABBOR;93;2045;
648779-150974;Roxen;20180806;11;;GERS;41;352;
648779-150974;Roxen;20180806;11;;MÖRT;49;4165;
648779-150974;Roxen;20180806;11;;BRAXE;3;198;
648779-150974;Roxen;20180806;11;;GÖS;1;24;
648779-150974;Roxen;20180806;12;;ABBOR;218;2194;
648779-150974;Roxen;20180806;12;;GERS;5;12;
648779-150974;Roxen;20180806;12;;MÖRT;10;229;
648779-150974;Roxen;20180806;13;;ABBOR;118;2385;
648779-150974;Roxen;20180806;13;;MÖRT;25;2520;
648779-150974;Roxen;20180806;13;;GERS;12;120;
648779-150974;Roxen;20180806;14;;ABBOR;77;775;
648779-150974;Roxen;20180806;14;;MÖRT;33;1430;
648779-150974;Roxen;20180806;14;;BENLÖ;6;81;
648779-150974;Roxen;20180806;14;;SARV;3;36;
648779-150974;Roxen;20180806;14;;SUTAR;1;11;
648779-150974;Roxen;20180806;15;;ABBOR;103;2661;
648779-150974;Roxen;20180806;15;;MÖRT;23;901;
648779-150974;Roxen;20180806;15;;GERS;34;386;
648779-150974;Roxen;20180806;15;;GÖS;1;15;
648779-150974;Roxen;20180806;16;;ABBOR;141;1260;
648779-150974;Roxen;20180806;16;;MÖRT;10;765;
648779-150974;Roxen;20180806;16;;GERS;50;483;
648779-150974;Roxen;20180806;17;;ABBOR;35;225;
648779-150974;Roxen;20180806;17;;MÖRT;17;826;
648779-150974;Roxen;20180806;17;;BJÖNA;2;46;
648779-150974;Roxen;20180806;17;;GÄDDA;1;16;
648779-150974;Roxen;20180806;17;;SUTAR;4;2160;
648779-150974;Roxen;20180806;18;;ABBOR;35;305;
648779-150974;Roxen;20180806;18;;MÖRT;46;1680;
648779-150974;Roxen;20180806;18;;SARV;14;920;
648779-150974;Roxen;20180806;18;;BRAXE;4;75;
648779-150974;Roxen;20180806;18;;SUTAR;1;1415;
648779-150974;Roxen;20180806;19;;ABBOR;83;493;
648779-150974;Roxen;20180806;19;;MÖRT;41;2210;
648779-150974;Roxen;20180806;19;;GERS;4;5;
648779-150974;Roxen;20180806;19;;BRAXE;1;6;
648779-150974;Roxen;20180806;20;;ABBOR;275;4030;
648779-150974;Roxen;20180806;20;;MÖRT;53;1320;
648779-150974;Roxen;20180806;20;;GERS;28;341;
648779-150974;Roxen;20180806;20;;GÖS;2;52;
648779-150974;Roxen;20180806;20;;BRAXE;3;122;
648779-150974;Roxen;20180806;20;;BJÖNA;1;111;
648779-150974;Roxen;20180806;20;;SIKLÖ;1;9;
648779-150974;Roxen;20180806;21;;ABBOR;131;3925;
648779-150974;Roxen;20180806;21;;MÖRT;52;2369;
648779-150974;Roxen;20180806;21;;GERS;9;84;
648779-150974;Roxen;20180806;21;;GÖS;1;26;
648779-150974;Roxen;20180806;22;;ABBOR;100;1145;
648779-150974;Roxen;20180806;22;;MÖRT;40;1146;
648779-150974;Roxen;20180806;22;;BRAXE;2;18;
